# TCEQ regulated entities under the Electric Generating Facilities
# unit rule (8340), standby gensets at stores/schools/hospitals
# removed, most-likely-generation first. One RN per line.
# Use: permits_cli.py scrape --rn-file data/scrape_targets_egf.txt
RN111459095,ENCHANTED ROCK OPS LLC
RN111459236,ENCHANTED ROCK OPS LLC
RN111459103,ENCHANTED ROCK OPS LLC
RN111459244,ENCHANTED ROCK OPS LLC
RN111459061,ENCHANTED ROCK OPS LLC
RN111459111,ENCHANTED ROCK OPS LLC
RN111459251,ENCHANTED ROCK OPS LLC
RN111459129,ENCHANTED ROCK OPS LLC
RN111459038,ENCHANTED ROCK OPS LLC
RN111459046,ENCHANTED ROCK OPS LLC
RN111459152,ENCHANTED ROCK OPS LLC
RN111459160,ENCHANTED ROCK OPS LLC
RN111459178,ENCHANTED ROCK OPS LLC
RN111459186,ENCHANTED ROCK OPS LLC
RN111459079,ENCHANTED ROCK OPS LLC
RN111459194,ENCHANTED ROCK OPS LLC
RN111459202,ENCHANTED ROCK OPS LLC
RN106626609,BROWNSVILLE PUBLIC UTILITIES BOARD
RN111444915,ENCHANTED ROCK OPS LLC
RN107125775,ENCHANTED ROCK OPS LLC
RN111444881,ENCHANTED ROCK OPS LLC
RN111444923,ENCHANTED ROCK OPS LLC
RN111444931,ENCHANTED ROCK OPS LLC
RN111444907,ENCHANTED ROCK OPS LLC
RN100219450,BROWNSVILLE PUBLIC UTILITIES BOARD
RN102596400,MIDLOTHIAN ENERGY  LLC
RN100221811,GUARDIAN INDUSTRIES LLC
RN111416137,ENCHANTED ROCK OPS LLC
RN111416152,ENCHANTED ROCK OPS LLC
RN106556590,RBF PORT NECHES LLC
RN106598907,CHAMISA CAES AT TULIA LLC
RN110769015,HGTS LLC
RN111701660,WWM OPERATING LLC
RN111836409,XENERGY PLUS INC
RN106392624,EL PASO ELECTRIC COMPANY
RN100614734,US DEPARTMENT OF VETERANS' AFFAIRS
RN111814430,TRP OPERATING LLC
RN111814448,TRP OPERATING LLC
RN111814455,TRP OPERATING LLC
RN111812244,ENCHANTED ROCK OPS LLC
RN111812251,ENCHANTED ROCK OPS LLC
RN111812277,ENCHANTED ROCK OPS LLC
RN111812236,ENCHANTED ROCK OPS LLC
RN111316600,DISASTER MANAGEMENT GROUP LLC
RN111794756,WATTBRIDGE TEXAS LLC
RN110863644,DOMINION PRIVATIZATION TEXAS LLC
RN107609943,DGSP2 LLC
RN111759809,ENCHANTED ROCK OPS LLC
RN111759817,ENCHANTED ROCK OPS LLC
RN105380216,CXA TEMPLE 2 LLC
RN105380216,TEMPLE GENERATION I LLC
RN111718532,CONDUIT TOLLCO LLC
RN100209832,SHELL CHEMICAL LP
RN111717674,ENCHANTED ROCK OPS LLC
RN100222330,DCP OPERATING COMPANY LP
RN107145930,DISTRIBUTED GENERATION SOLUTIONS PRIME LLC
RN111700472,LOWER COLORADO RIVER AUTHORITY
RN111690996,MAINSPRING ENERGY INC
RN111500781,ENCHANTED ROCK OPS LLC
RN111690186,ENCHANTED ROCK OPS LLC
RN111654760,VOLTAGRID LLC
RN112105366,PIONEER NATURAL RESOURCES USA INC
RN100220110,VERDANT INDUSTRIES LLC
RN111422333,LEPRINO FOODS COMPANY
RN112088729,ENCHANTED ROCK LLC
RN112088737,ENCHANTED ROCK LLC
RN112088430,ENCHANTED ROCK LLC
RN112088745,ENCHANTED ROCK LLC
RN112088695,ENCHANTED ROCK LLC
RN112088422,ENCHANTED ROCK LLC
RN112088448,ENCHANTED ROCK LLC
RN112088703,ENCHANTED ROCK LLC
RN112088398,ENCHANTED ROCK LLC
RN112088711,ENCHANTED ROCK LLC
RN112084165,RPC MERCHANT LLC
RN112080478,ENCHANTED ROCK LLC
RN112080494,ENCHANTED ROCK LLC
RN100222330,DCP OPERATING COMPANY  LP
RN111390498,PIONEER NATURAL RESOURCES USA INC
RN108784059,CITY OF DENTON
RN112063623,KODIAK GENERATION LLC
RN111112082,MARK ONE II LLC
RN102613783,WESTLAKE PIPE & FITTINGS CORPORATION
RN111734356,PIONEER NATURAL RESOURCES USA INC
RN112062179,WATTBRIDGE TEXAS LLC
RN111998779,ET GENCO LLC
RN112061361,ENCHANTED ROCK LLC
RN112022306,RPC MERCHANT LLC
RN112023999,RPC MERCHANT LLC
RN112024005,RPC MERCHANT LLC
RN112056114,ET GENCO LLC
RN100623842,APPLIED CRYO TECHNOLOGIES INC
RN112050760,VOLTAGRID LLC
RN112043385,ENCHANTED ROCK LLC
RN112043351,ENCHANTED ROCK LLC
RN112043310,ENCHANTED ROCK LLC
RN112043393,ENCHANTED ROCK LLC
RN112043344,ENCHANTED ROCK LLC
RN112043377,ENCHANTED ROCK LLC
RN112033626,RPC MERCHANT LLC
RN111831251,PIONEER NATURAL RESOURCES USA INC
RN112033600,RPC MERCHANT LLC
RN112029061,ABILENE DC 1  LLC
RN104990973,EATON CORPORATION
RN111862025,PIONEER NATURAL RESOURCES USA INC
RN112029061,ABILENE DC 1 LLC
RN112026232,ENCHANTED ROCK LLC
RN112026208,ENCHANTED ROCK LLC
RN112026174,ENCHANTED ROCK LLC
RN111899555,ENCHANTED ROCK LLC
RN112026224,ENCHANTED ROCK LLC
RN112026182,ENCHANTED ROCK LLC
RN112025077,ENCHANTED ROCK LLC
RN112025085,ENCHANTED ROCK LLC
RN112024617,ET GENCO LLC
RN112019625,ET GENCO LLC
RN112014576,ENGIE NORTH AMERICA INC
RN112014592,ENGIE NORTH AMERICA INC
RN112013008,ELEMENT H2GEN LLC
RN112007711,KERRVILLE PUBLIC UTILITY BOARD
RN100754779,SMURFIT KAPPA NORTH AMERICA LLC
RN111981288,NGL WATER SOLUTIONS PERMIAN LLC
RN111372694,SAN ANTONIO WATER SYSTEM
RN111932869,SAN ANTONIO WATER SYSTEM
RN106035009,SAN ANTONIO WATER SYSTEM
RN111932877,SAN ANTONIO WATER SYSTEM
RN111932885,SAN ANTONIO WATER SYSTEM
RN109783779,SAN ANTONIO WATER SYSTEM
RN111932851,SAN ANTONIO WATER SYSTEM
RN111813341,SAN ANTONIO WATER SYSTEM
RN111813333,SAN ANTONIO WATER SYSTEM
RN100213628,ET GATHERING & PROCESSING LLC
RN110903911,SAN ANTONIO WATER SYSTEM
RN111932844,SAN ANTONIO WATER SYSTEM
RN111984233,HASHLAND INC
RN111983607,ENCHANTED ROCK LLC
RN110453131,TEXAS MICROGRID LLC
RN102476488,ENCHANTED ROCK LLC
RN111955035,ENTERGY TEXAS INC
RN111941340,ENCHANTED ROCK LLC
RN111170924,BROTMAN II LLC
RN102831864,SAN ANTONIO WATER SYSTEM
RN109810515,SAN ANTONIO WATER SYSTEM
RN105987747,SAN ANTONIO WATER SYSTEM
RN109831370,SAN ANTONIO WATER SYSTEM
RN111912150,ENCHANTED ROCK LLC
RN111912184,ENCHANTED ROCK LLC
RN109220137,BLAINE LARSEN FARMS INC
RN111871703,ENCHANTED ROCK OPS LLC
RN111871711,ENCHANTED ROCK OPS LLC
RN111871729,ENCHANTED ROCK OPS LLC
RN111871737,ENCHANTED ROCK OPS LLC
RN111871745,ENCHANTED ROCK OPS LLC
RN112341664,FEATHERWOOD CAPITAL LLC
RN112341565,YELLOW BOX PARTNERS LLC
RN112238399,PACIFICO SPUNKY LLC
RN112335179,MCV I LLC
RN112117999,ENCHANTED ROCK LLC
RN112335187,MCV I LLC
RN112335195,MCV I LLC
RN112335203,MCV I LLC
RN112174313,ENCHANTED ROCK LLC
RN112118112,ENCHANTED ROCK LLC
RN112118104,ENCHANTED ROCK LLC
RN112330550,HEDGEHOG USA INC
RN112316047,ENCHANTED ROCK LLC
RN112316054,ENCHANTED ROCK LLC
RN109429233,TEXAS MICROGRID  LLC
RN109809582,TEXAS MICROGRID LLC
RN111946992,M A MORTENSON COMPANY
RN100213909,CITY PUBLIC SERVICE BOARD
RN112308382,PIONEER WATER MANAGEMENT LLC
RN100223023,GREENVILLE ELECTRIC UTILITY SYSTEM
RN110369675,PIONEER WATER MANAGEMENT LLC
RN112303060,VOLTAGRID LLC
RN103016168,TEXAS MICROGRID  LLC
RN101767358,TEXAS MICROGRID  LLC
RN101735736,TEXAS MICROGRID  LLC
RN104125687,TEXAS MICROGRID  LLC
RN109340497,TEXAS MICROGRID  LLC
RN109342220,TEXAS MICROGRID  LLC
RN109341610,TEXAS MICROGRID  LLC
RN104482815,TEXAS MICROGRID  LLC
RN109342238,TEXAS MICROGRID  LLC
RN107125270,TEXAS MICROGRID  LLC
RN109350611,TEXAS MICROGRID  LLC
RN109315036,TEXAS MICROGRID  LLC
RN105828404,ENCHANTED ROCK SOLUTIONS  LLC
RN101732667,TEXAS MICROGRID  LLC
RN109227256,TEXAS MICROGRID  LLC
RN109342667,TEXAS MICROGRID  LLC
RN109342261,TEXAS MICROGRID  LLC
RN105015507,TEXAS MICROGRID  LLC
RN109340463,TEXAS MICROGRID  LLC
RN109342741,TEXAS MICROGRID  LLC
RN107846503,TEXAS MICROGRID  LLC
RN109315853,TEXAS MICROGRID  LLC
RN109342642,TEXAS MICROGRID  LLC
RN109322420,HIGHMARK ENERGY OPERATING  LLC
RN107854333,TEXAS MICROGRID  LLC
RN112297924,ET GENCO LLC
RN111975223,PIONEER NATURAL RESOURCES USA INC
